"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1458",7501000401,1035.5,0.84,-4.9,6.585,11,"T","C"
"1459",7501000402,1037,0.815,-4.93,6.555,11,"T","T"
"1460",7501000501,1046.5,0.965,-4.79,6.72,11,"C","C"
"1461",7501000502,1047,0.965,-4.79,6.72,11,"M","C"
"1462",7501000801,1036.5,0.94,-4.815,6.69,11,"C","C"
"1463",7501000802,1027.5,1.055,-4.705,6.82,11,"C","C"
"1464",7501001201,1006.5,1.105,-4.66,6.87,11,"C","C"
"1465",7501001301,1004,1.06,-4.7,6.82,11,"M","M"
"1468",7501001501,930,1.425,-4.39,7.24,11,"C","C"
"1469",7501001502,930.5,1.405,-4.405,7.22,11,"C","C"
"1470",7501001601,930.5,1.375,-4.44,7.19,11,"C","C"
"1471",7501001701,984.5,1.2,-4.57,6.965,11,"C","C"
"1472",7501001801,940.5,1.44,-4.355,7.245,11,"C","C"
"1473",7501001802,943.5,1.39,-4.41,7.19,11,"C","C"
"1474",7501001901,1045,1.095,-4.655,6.85,11,"C","C"
"1475",7501001902,1045,1.105,-4.65,6.86,11,"C","C"
"1476",7501002401,1019,1.125,-4.625,6.875,11,"T","M"
"1477",7501002501,963.5,1.055,-4.71,6.82,11,"C","C"
"1479",7501003001,950.5,0.48,-5.415,6.385,15,"C","C"
"1480",7501003002,949.5,0.505,-5.395,6.405,15,"C","C"
"1481",7501003101,952,0.375,-5.505,6.25,15,"C","C"
"1483",7501003201,953.5,0.205,-5.61,6.03,15,"C","C"
"1484",7501003202,948.5,0.285,-5.545,6.11,15,"C","C"
"1485",7501003501,880,1.215,-4.57,7,11,"C","C"
"1486",7501003502,880.5,1.215,-4.57,6.995,11,"C","C"
"1487",7501003701,905,0.47,-5.265,6.2,15,"C","C"
"1488",7501003801,951,0.12,-5.685,5.925,15,"C","C"
"1489",7501003802,951,0.115,-5.685,5.92,15,"C","C"
"1490",7501003901,936,0.155,-5.58,5.89,15,"M","M"
"1491",7501003902,936,0.155,-5.575,5.89,15,"C","C"
"1492",7501004002,939.5,0.09,-5.66,5.83,15,"C","C"
"1493",7501004301,956.5,-0.105,-5.875,5.675,15,"C","C"
"1494",7501004602,933,0.72,-4.905,6.35,11,"C","C"
"1495",7501004701,910,0.845,-4.795,6.495,11,"T","T"
"1496",7501004901,939,0,-5.745,5.74,15,"M","M"
"1497",7501004902,939.5,-0.01,-5.75,5.74,15,"C","C"
"1498",7501005102,935.5,0.565,-5.03,6.16,11,"C","C"
"1499",7501005201,914,0.195,-5.4,5.79,11,"M","T"
"1500",7501005202,914,0.195,-5.395,5.79,11,"M","T"
"1501",7501100202,1176.5,2.11,-3.335,7.56,10,"M","T"
"1502",7501100301,1162,2.11,-3.37,7.6,10,"C","C"
"1503",7501100302,1163.5,2.09,-3.39,7.57,10,"C","C"
"1504",7501100401,1174.5,1.97,-3.475,7.41,10,"M","M"
"1505",7501100501,1202.5,2.12,-3.2,7.45,10,"M","C"
"1506",7501100502,1199.5,2.165,-3.16,7.495,10,"M","C"
"1507",7501100801,1184.5,1.645,-3.575,6.865,11,"T","C"
"1508",7501100902,1142.5,2.365,-2.84,7.57,11,"M","M"
"1509",7501101001,1138.5,2.345,-2.98,7.675,10,"M","M"
"1510",7501101101,1173.5,1.82,-3.365,7.015,11,"C","C"
"1511",7501101102,1174,1.81,-3.375,7.005,11,"T","T"
"1512",7501101202,1181.5,1.59,-3.63,6.8,11,"M","C"
"1513",7501101402,1131.5,2.45,-2.735,7.625,11,"M","M"
"1514",7501101602,1145,2.07,-3.205,7.345,11,"T","T"
"1515",7501101801,1179,1.525,-3.79,6.835,11,"M","M"
"1516",7501101901,1160.5,1.94,-3.22,7.095,11,"M","M"
"1517",7501101902,1157.5,1.98,-3.18,7.135,11,"M","M"
"1518",7501102001,1171,1.665,-3.67,7,11,"D","D"
"1519",7501102202,1154,1.945,-3.475,7.36,11,"D","D"
"1520",7501102302,1084,3.09,-1.955,8.13,8,"C","C"
"1521",7501102402,1125,2.45,-3.005,7.9,11,"M","M"
"1522",7501102501,919,3.595,-1.425,8.615,9,"C","C"
"1523",7501102701,1206.5,1.215,-3.885,6.305,11,"D","D"
"1524",7501102901,1161.5,1.91,-3.485,7.305,11,"D","D"
"1525",7501103101,1147.5,2.045,-2.925,7.015,8,"M","M"
"1526",7501103102,1146,2.065,-2.905,7.035,8,"C","C"
"1527",7501103202,1133,2.43,-3.015,7.88,11,"C","T"
"1528",7501103301,1116,2.375,-2.69,7.45,8,"M","M"
"1529",7501103302,1136,2.1,-2.945,7.15,8,"D","D"
"1530",7501103501,1166,1.735,-3.2,6.665,8,"C","C"
